experience_driver,ERI,Loyalty_State,Associated_Entity_Names,R,Most_Recent_Date,F,No_of_Mentions,RF,RF_Urgency_Category,ERI_RF_Quadrant,Quadrant_Purpose,Priority_Status,Impact_Score,RFI
Product Information → Product Details,-50.0,Negative,['Online Product Listings'],52.03,2025-05-28,41.63,2,47.87,Watch,Negative x Watch,Tactical Corrections,P3,0.55,26.33
Product Quality → Consistency,-33.33,Negative,['Quail Pack'],49.99,2025-05-25,26.26,1,40.5,Watch,Negative x Watch,Tactical Corrections,P3,0.55,22.28
Product Quality → Freshness,33.33,Positive,['Mutton and Vegetables'],48.03,2025-05-22,26.26,1,39.32,Weak,Positive x Weak,Gradual Improvements,P5,0.2,7.86
Product Quality → Product Condition,-33.33,Negative,"['Kandhari Pomegranate', 'Meat']",91.09,2025-07-09,41.63,2,71.3,Escalate,Negative x Escalate,Contain Friction Emergence,P2,0.7,49.91
Product Quality → Product Freshness,-33.33,Negative,['Tuna Fish and Potatoes'],71.65,2025-06-21,26.26,1,53.5,Watch,Negative x Watch,Tactical Corrections,P3,0.55,29.42
Product Quality → Product Safety,-100.0,Very Negative,['Meat'],42.04,2025-05-12,26.26,1,35.73,Weak,Very Negative x Weak,Flag for Vulnerability,P5,0.2,7.15
Product Variety → International Products,33.33,Positive,['Pakistani Brands'],92.31,2025-07-10,26.26,1,65.89,Escalate,Positive x Escalate,Loyalty Accelerant,P2,0.7,46.13
Promotions & Discounts → Free Bag Offer,33.33,Positive,['Free Bag on 4000+ Shopping'],79.72,2025-06-29,26.26,1,58.34,Watch,Positive x Watch,Deepen Retention Programs,P3,0.55,32.09
Promotions & Discounts → Voucher Availability,33.33,Positive,['Discount Vouchers'],48.68,2025-05-23,26.26,1,39.71,Weak,Positive x Weak,Gradual Improvements,P5,0.2,7.94
Promotions & Discounts → Voucher Redemption,-100.0,Very Negative,['Rs 150 Voucher'],86.36,2025-07-05,26.26,1,62.32,Escalate,Very Negative x Escalate,Prevent Active Loyalty Churn,P1,0.85,52.97
Promotions & Discounts → Voucher Value,33.33,Positive,['10k Purchase Voucher'],66.14,2025-06-15,26.26,1,50.19,Watch,Positive x Watch,Deepen Retention Programs,P3,0.55,27.61
Return & Refund Policy → Branch-Specific Return Restriction,-33.33,Negative,['Heater Exchange Policy'],61.06,2025-06-09,26.26,1,47.14,Watch,Negative x Watch,Tactical Corrections,P3,0.55,25.93
