experience_driver,field_name,weight_contribution,percentage_of_signature
Order Accuracy → Error Resolution,customer_journey,2,4.878048780487805
Order Accuracy → Error Resolution,theme,2,4.878048780487805
Order Accuracy → Error Resolution,customer_journey_stage,1,2.4390243902439024
Order Accuracy → Error Resolution,feedback_type,1,2.4390243902439024
Order Accuracy → Error Resolution,customer_effort_score,1,2.4390243902439024
Product Availability → Online vs. In-Store Consistency,matters,8,19.51219512195122
Product Availability → Online vs. In-Store Consistency,behavioral_impact,6,14.634146341463413
Product Availability → Online vs. In-Store Consistency,context,6,14.634146341463413
Product Availability → Online vs. In-Store Consistency,stream_justification,4,9.75609756097561
Product Availability → Online vs. In-Store Consistency,interaction_moment,4,9.75609756097561
Product Availability → Online vs. In-Store Consistency,emotion,3,7.317073170731707
Product Availability → Online vs. In-Store Consistency,opportunity_stream,3,7.317073170731707
Product Availability → Online vs. In-Store Consistency,customer_journey,2,4.878048780487805
Product Availability → Online vs. In-Store Consistency,theme,2,4.878048780487805
Product Availability → Online vs. In-Store Consistency,customer_journey_stage,1,2.4390243902439024
Product Availability → Online vs. In-Store Consistency,feedback_type,1,2.4390243902439024
Product Availability → Online vs. In-Store Consistency,customer_effort_score,1,2.4390243902439024
Order & Payment → Refund Processing,matters,8,19.51219512195122
Order & Payment → Refund Processing,behavioral_impact,6,14.634146341463413
Order & Payment → Refund Processing,context,6,14.634146341463413
Order & Payment → Refund Processing,stream_justification,4,9.75609756097561
Order & Payment → Refund Processing,interaction_moment,4,9.75609756097561
Order & Payment → Refund Processing,emotion,3,7.317073170731707
Order & Payment → Refund Processing,opportunity_stream,3,7.317073170731707
Order & Payment → Refund Processing,customer_journey,2,4.878048780487805
Order & Payment → Refund Processing,theme,2,4.878048780487805
Order & Payment → Refund Processing,customer_journey_stage,1,2.4390243902439024
Order & Payment → Refund Processing,feedback_type,1,2.4390243902439024
Order & Payment → Refund Processing,customer_effort_score,1,2.4390243902439024
Product Availability → Out-of-Stock Management,matters,8,19.51219512195122
Product Availability → Out-of-Stock Management,behavioral_impact,6,14.634146341463413
Product Availability → Out-of-Stock Management,context,6,14.634146341463413
Product Availability → Out-of-Stock Management,stream_justification,4,9.75609756097561
Product Availability → Out-of-Stock Management,interaction_moment,4,9.75609756097561
Product Availability → Out-of-Stock Management,emotion,3,7.317073170731707
Product Availability → Out-of-Stock Management,opportunity_stream,3,7.317073170731707
Product Availability → Out-of-Stock Management,customer_journey,2,4.878048780487805
Product Availability → Out-of-Stock Management,theme,2,4.878048780487805
Product Availability → Out-of-Stock Management,customer_journey_stage,1,2.4390243902439024
Product Availability → Out-of-Stock Management,feedback_type,1,2.4390243902439024
Product Availability → Out-of-Stock Management,customer_effort_score,1,2.4390243902439024
Product Quality → Product Condition,matters,8,19.51219512195122
Product Quality → Product Condition,behavioral_impact,6,14.634146341463413
Product Quality → Product Condition,context,6,14.634146341463413
Product Quality → Product Condition,stream_justification,4,9.75609756097561
Product Quality → Product Condition,interaction_moment,4,9.75609756097561
Product Quality → Product Condition,emotion,3,7.317073170731707
Product Quality → Product Condition,opportunity_stream,3,7.317073170731707
Product Quality → Product Condition,customer_journey,2,4.878048780487805
Product Quality → Product Condition,theme,2,4.878048780487805
Product Quality → Product Condition,customer_journey_stage,1,2.4390243902439024
Product Quality → Product Condition,feedback_type,1,2.4390243902439024
Product Quality → Product Condition,customer_effort_score,1,2.4390243902439024
Mobile App → Performance Stability,matters,8,19.51219512195122
Mobile App → Performance Stability,behavioral_impact,6,14.634146341463413
Mobile App → Performance Stability,context,6,14.634146341463413
Mobile App → Performance Stability,stream_justification,4,9.75609756097561
Mobile App → Performance Stability,interaction_moment,4,9.75609756097561
Mobile App → Performance Stability,emotion,3,7.317073170731707
Mobile App → Performance Stability,opportunity_stream,3,7.317073170731707
Mobile App → Performance Stability,customer_journey,2,4.878048780487805
Mobile App → Performance Stability,theme,2,4.878048780487805
Mobile App → Performance Stability,customer_journey_stage,1,2.4390243902439024
Mobile App → Performance Stability,feedback_type,1,2.4390243902439024
Mobile App → Performance Stability,customer_effort_score,1,2.4390243902439024
Promotions & Discounts → Voucher Availability,matters,8,19.51219512195122
Promotions & Discounts → Voucher Availability,behavioral_impact,6,14.634146341463413
Promotions & Discounts → Voucher Availability,context,6,14.634146341463413
Promotions & Discounts → Voucher Availability,stream_justification,4,9.75609756097561
Promotions & Discounts → Voucher Availability,interaction_moment,4,9.75609756097561
Promotions & Discounts → Voucher Availability,emotion,3,7.317073170731707
Promotions & Discounts → Voucher Availability,opportunity_stream,3,7.317073170731707
Promotions & Discounts → Voucher Availability,customer_journey,2,4.878048780487805
Promotions & Discounts → Voucher Availability,theme,2,4.878048780487805
Promotions & Discounts → Voucher Availability,customer_journey_stage,1,2.4390243902439024
Promotions & Discounts → Voucher Availability,feedback_type,1,2.4390243902439024
Promotions & Discounts → Voucher Availability,customer_effort_score,1,2.4390243902439024
Promotions & Discounts → Voucher Value,matters,8,19.51219512195122
Promotions & Discounts → Voucher Value,behavioral_impact,6,14.634146341463413
Promotions & Discounts → Voucher Value,context,6,14.634146341463413
Promotions & Discounts → Voucher Value,stream_justification,4,9.75609756097561
Promotions & Discounts → Voucher Value,interaction_moment,4,9.75609756097561
Promotions & Discounts → Voucher Value,emotion,3,7.317073170731707
Promotions & Discounts → Voucher Value,opportunity_stream,3,7.317073170731707
Promotions & Discounts → Voucher Value,customer_journey,2,4.878048780487805
Promotions & Discounts → Voucher Value,theme,2,4.878048780487805
Promotions & Discounts → Voucher Value,customer_journey_stage,1,2.4390243902439024
Promotions & Discounts → Voucher Value,feedback_type,1,2.4390243902439024
Promotions & Discounts → Voucher Value,customer_effort_score,1,2.4390243902439024
Order Accuracy → Substitution & Pricing,matters,8,19.51219512195122
Order Accuracy → Substitution & Pricing,behavioral_impact,6,14.634146341463413
Order Accuracy → Substitution & Pricing,context,6,14.634146341463413
Order Accuracy → Substitution & Pricing,stream_justification,4,9.75609756097561
Order Accuracy → Substitution & Pricing,interaction_moment,4,9.75609756097561
Order Accuracy → Substitution & Pricing,emotion,3,7.317073170731707
Order Accuracy → Substitution & Pricing,opportunity_stream,3,7.317073170731707
Order Accuracy → Substitution & Pricing,customer_journey,2,4.878048780487805
Order Accuracy → Substitution & Pricing,theme,2,4.878048780487805
Order Accuracy → Substitution & Pricing,customer_journey_stage,1,2.4390243902439024
Order Accuracy → Substitution & Pricing,feedback_type,1,2.4390243902439024
Order Accuracy → Substitution & Pricing,customer_effort_score,1,2.4390243902439024
Customization Options → Product Customization,matters,8,19.51219512195122
Customization Options → Product Customization,behavioral_impact,6,14.634146341463413
Customization Options → Product Customization,context,6,14.634146341463413
Customization Options → Product Customization,stream_justification,4,9.75609756097561
Customization Options → Product Customization,interaction_moment,4,9.75609756097561
Customization Options → Product Customization,emotion,3,7.317073170731707
Customization Options → Product Customization,opportunity_stream,3,7.317073170731707
Customization Options → Product Customization,customer_journey,2,4.878048780487805
Customization Options → Product Customization,theme,2,4.878048780487805
Customization Options → Product Customization,customer_journey_stage,1,2.4390243902439024
Customization Options → Product Customization,feedback_type,1,2.4390243902439024
Customization Options → Product Customization,customer_effort_score,1,2.4390243902439024
Customer Support → Proactive Communication,matters,8,19.51219512195122
Customer Support → Proactive Communication,behavioral_impact,6,14.634146341463413
Customer Support → Proactive Communication,context,6,14.634146341463413
Customer Support → Proactive Communication,stream_justification,4,9.75609756097561
Customer Support → Proactive Communication,interaction_moment,4,9.75609756097561
Customer Support → Proactive Communication,emotion,3,7.317073170731707
Customer Support → Proactive Communication,opportunity_stream,3,7.317073170731707
Customer Support → Proactive Communication,customer_journey,2,4.878048780487805
Customer Support → Proactive Communication,theme,2,4.878048780487805
Customer Support → Proactive Communication,customer_journey_stage,1,2.4390243902439024
Customer Support → Proactive Communication,feedback_type,1,2.4390243902439024
Customer Support → Proactive Communication,customer_effort_score,1,2.4390243902439024
Order & Payment → Payment Discrepancy,matters,8,19.51219512195122
Order & Payment → Payment Discrepancy,behavioral_impact,6,14.634146341463413
Order & Payment → Payment Discrepancy,context,6,14.634146341463413
Order & Payment → Payment Discrepancy,stream_justification,4,9.75609756097561
Order & Payment → Payment Discrepancy,interaction_moment,4,9.75609756097561
Order & Payment → Payment Discrepancy,emotion,3,7.317073170731707
Order & Payment → Payment Discrepancy,opportunity_stream,3,7.317073170731707
Order & Payment → Payment Discrepancy,customer_journey,2,4.878048780487805
Order & Payment → Payment Discrepancy,theme,2,4.878048780487805
Order & Payment → Payment Discrepancy,customer_journey_stage,1,2.4390243902439024
Order & Payment → Payment Discrepancy,feedback_type,1,2.4390243902439024
Order & Payment → Payment Discrepancy,customer_effort_score,1,2.4390243902439024
Delivery & Fulfillment → Timeliness,matters,8,19.51219512195122
Delivery & Fulfillment → Timeliness,behavioral_impact,6,14.634146341463413
Delivery & Fulfillment → Timeliness,context,6,14.634146341463413
Delivery & Fulfillment → Timeliness,stream_justification,4,9.75609756097561
Delivery & Fulfillment → Timeliness,interaction_moment,4,9.75609756097561
Delivery & Fulfillment → Timeliness,emotion,3,7.317073170731707
Delivery & Fulfillment → Timeliness,opportunity_stream,3,7.317073170731707
Delivery & Fulfillment → Timeliness,customer_journey,2,4.878048780487805
Delivery & Fulfillment → Timeliness,theme,2,4.878048780487805
Delivery & Fulfillment → Timeliness,customer_journey_stage,1,2.4390243902439024
Delivery & Fulfillment → Timeliness,feedback_type,1,2.4390243902439024
Delivery & Fulfillment → Timeliness,customer_effort_score,1,2.4390243902439024
Order Accuracy → Delivery Fulfillment,matters,8,19.51219512195122
Order Accuracy → Delivery Fulfillment,behavioral_impact,6,14.634146341463413
Order Accuracy → Delivery Fulfillment,context,6,14.634146341463413
Order Accuracy → Delivery Fulfillment,stream_justification,4,9.75609756097561
Order Accuracy → Delivery Fulfillment,interaction_moment,4,9.75609756097561
Order Accuracy → Delivery Fulfillment,emotion,3,7.317073170731707
Order Accuracy → Delivery Fulfillment,opportunity_stream,3,7.317073170731707
Order Accuracy → Delivery Fulfillment,customer_journey,2,4.878048780487805
Order Accuracy → Delivery Fulfillment,theme,2,4.878048780487805
Order Accuracy → Delivery Fulfillment,customer_journey_stage,1,2.4390243902439024
Order Accuracy → Delivery Fulfillment,feedback_type,1,2.4390243902439024
Order Accuracy → Delivery Fulfillment,customer_effort_score,1,2.4390243902439024
Payment Experience → Payment Processing,matters,8,19.51219512195122
Payment Experience → Payment Processing,behavioral_impact,6,14.634146341463413
Payment Experience → Payment Processing,context,6,14.634146341463413
Payment Experience → Payment Processing,stream_justification,4,9.75609756097561
Payment Experience → Payment Processing,interaction_moment,4,9.75609756097561
Payment Experience → Payment Processing,emotion,3,7.317073170731707
Payment Experience → Payment Processing,opportunity_stream,3,7.317073170731707
Payment Experience → Payment Processing,customer_journey,2,4.878048780487805
Payment Experience → Payment Processing,theme,2,4.878048780487805
Payment Experience → Payment Processing,customer_journey_stage,1,2.4390243902439024
Payment Experience → Payment Processing,feedback_type,1,2.4390243902439024
Payment Experience → Payment Processing,customer_effort_score,1,2.4390243902439024
Delivery Experience → Timeliness,matters,8,19.51219512195122
Delivery Experience → Timeliness,behavioral_impact,6,14.634146341463413
Delivery Experience → Timeliness,context,6,14.634146341463413
Delivery Experience → Timeliness,stream_justification,4,9.75609756097561
Delivery Experience → Timeliness,interaction_moment,4,9.75609756097561
Delivery Experience → Timeliness,emotion,3,7.317073170731707
Delivery Experience → Timeliness,opportunity_stream,3,7.317073170731707
Delivery Experience → Timeliness,customer_journey,2,4.878048780487805
Delivery Experience → Timeliness,theme,2,4.878048780487805
Delivery Experience → Timeliness,customer_journey_stage,1,2.4390243902439024
Delivery Experience → Timeliness,feedback_type,1,2.4390243902439024
Delivery Experience → Timeliness,customer_effort_score,1,2.4390243902439024
Product Variety → International Products,matters,8,19.51219512195122
Product Variety → International Products,behavioral_impact,6,14.634146341463413
Product Variety → International Products,context,6,14.634146341463413
Product Variety → International Products,stream_justification,4,9.75609756097561
Product Variety → International Products,interaction_moment,4,9.75609756097561
Product Variety → International Products,emotion,3,7.317073170731707
Product Variety → International Products,opportunity_stream,3,7.317073170731707
Product Variety → International Products,customer_journey,2,4.878048780487805
Product Variety → International Products,theme,2,4.878048780487805
Product Variety → International Products,customer_journey_stage,1,2.4390243902439024
Product Variety → International Products,feedback_type,1,2.4390243902439024
Product Variety → International Products,customer_effort_score,1,2.4390243902439024
Order & Payment → Order Quantity Limits,matters,8,19.51219512195122
Order & Payment → Order Quantity Limits,behavioral_impact,6,14.634146341463413
Order & Payment → Order Quantity Limits,context,6,14.634146341463413
Order & Payment → Order Quantity Limits,stream_justification,4,9.75609756097561
Order & Payment → Order Quantity Limits,interaction_moment,4,9.75609756097561
Order & Payment → Order Quantity Limits,emotion,3,7.317073170731707
Order & Payment → Order Quantity Limits,opportunity_stream,3,7.317073170731707
Order & Payment → Order Quantity Limits,customer_journey,2,4.878048780487805
Order & Payment → Order Quantity Limits,theme,2,4.878048780487805
Order & Payment → Order Quantity Limits,customer_journey_stage,1,2.4390243902439024
Order & Payment → Order Quantity Limits,feedback_type,1,2.4390243902439024
Order & Payment → Order Quantity Limits,customer_effort_score,1,2.4390243902439024
Product Information → Product Details,matters,8,19.51219512195122
Product Information → Product Details,behavioral_impact,6,14.634146341463413
Product Information → Product Details,context,6,14.634146341463413
Product Information → Product Details,stream_justification,4,9.75609756097561
Product Information → Product Details,interaction_moment,4,9.75609756097561
Product Information → Product Details,emotion,3,7.317073170731707
Product Information → Product Details,opportunity_stream,3,7.317073170731707
Product Information → Product Details,customer_journey,2,4.878048780487805
Product Information → Product Details,theme,2,4.878048780487805
Product Information → Product Details,customer_journey_stage,1,2.4390243902439024
Product Information → Product Details,feedback_type,1,2.4390243902439024
Product Information → Product Details,customer_effort_score,1,2.4390243902439024
Loyalty Programs → Membership Integration,matters,8,19.51219512195122
Loyalty Programs → Membership Integration,behavioral_impact,6,14.634146341463413
Loyalty Programs → Membership Integration,context,6,14.634146341463413
Loyalty Programs → Membership Integration,stream_justification,4,9.75609756097561
Loyalty Programs → Membership Integration,interaction_moment,4,9.75609756097561
Loyalty Programs → Membership Integration,emotion,3,7.317073170731707
Loyalty Programs → Membership Integration,opportunity_stream,3,7.317073170731707
Loyalty Programs → Membership Integration,customer_journey,2,4.878048780487805
Loyalty Programs → Membership Integration,theme,2,4.878048780487805
Loyalty Programs → Membership Integration,customer_journey_stage,1,2.4390243902439024
Loyalty Programs → Membership Integration,feedback_type,1,2.4390243902439024
Loyalty Programs → Membership Integration,customer_effort_score,1,2.4390243902439024
Payment Experience → Cash Handling,matters,8,19.51219512195122
Payment Experience → Cash Handling,behavioral_impact,6,14.634146341463413
Payment Experience → Cash Handling,context,6,14.634146341463413
Payment Experience → Cash Handling,stream_justification,4,9.75609756097561
Payment Experience → Cash Handling,interaction_moment,4,9.75609756097561
Payment Experience → Cash Handling,emotion,3,7.317073170731707
Payment Experience → Cash Handling,opportunity_stream,3,7.317073170731707
Payment Experience → Cash Handling,customer_journey,2,4.878048780487805
Payment Experience → Cash Handling,theme,2,4.878048780487805
Payment Experience → Cash Handling,customer_journey_stage,1,2.4390243902439024
Payment Experience → Cash Handling,feedback_type,1,2.4390243902439024
Payment Experience → Cash Handling,customer_effort_score,1,2.4390243902439024
Delivery Experience → Order Completion,matters,8,19.51219512195122
Delivery Experience → Order Completion,behavioral_impact,6,14.634146341463413
Delivery Experience → Order Completion,context,6,14.634146341463413
Delivery Experience → Order Completion,stream_justification,4,9.75609756097561
Delivery Experience → Order Completion,interaction_moment,4,9.75609756097561
Delivery Experience → Order Completion,emotion,3,7.317073170731707
Delivery Experience → Order Completion,opportunity_stream,3,7.317073170731707
Delivery Experience → Order Completion,customer_journey,2,4.878048780487805
Delivery Experience → Order Completion,theme,2,4.878048780487805
Delivery Experience → Order Completion,customer_journey_stage,1,2.4390243902439024
Delivery Experience → Order Completion,feedback_type,1,2.4390243902439024
Delivery Experience → Order Completion,customer_effort_score,1,2.4390243902439024
Delivery & Fulfillment → Tracking,matters,8,19.51219512195122
Delivery & Fulfillment → Tracking,behavioral_impact,6,14.634146341463413
Delivery & Fulfillment → Tracking,context,6,14.634146341463413
Delivery & Fulfillment → Tracking,stream_justification,4,9.75609756097561
Delivery & Fulfillment → Tracking,interaction_moment,4,9.75609756097561
Delivery & Fulfillment → Tracking,emotion,3,7.317073170731707
Delivery & Fulfillment → Tracking,opportunity_stream,3,7.317073170731707
Delivery & Fulfillment → Tracking,customer_journey,2,4.878048780487805
Delivery & Fulfillment → Tracking,theme,2,4.878048780487805
Delivery & Fulfillment → Tracking,customer_journey_stage,1,2.4390243902439024
Delivery & Fulfillment → Tracking,feedback_type,1,2.4390243902439024
Delivery & Fulfillment → Tracking,customer_effort_score,1,2.4390243902439024
Product Quality → Product Safety,matters,8,19.51219512195122
Product Quality → Product Safety,behavioral_impact,6,14.634146341463413
Product Quality → Product Safety,context,6,14.634146341463413
Product Quality → Product Safety,stream_justification,4,9.75609756097561
Product Quality → Product Safety,interaction_moment,4,9.75609756097561
Product Quality → Product Safety,emotion,3,7.317073170731707
Product Quality → Product Safety,opportunity_stream,3,7.317073170731707
Product Quality → Product Safety,customer_journey,2,4.878048780487805
Product Quality → Product Safety,theme,2,4.878048780487805
Product Quality → Product Safety,customer_journey_stage,1,2.4390243902439024
Product Quality → Product Safety,feedback_type,1,2.4390243902439024
Product Quality → Product Safety,customer_effort_score,1,2.4390243902439024
Order Accuracy → Customer Communication,matters,8,19.51219512195122
Order Accuracy → Customer Communication,behavioral_impact,6,14.634146341463413
Order Accuracy → Customer Communication,context,6,14.634146341463413
Order Accuracy → Customer Communication,stream_justification,4,9.75609756097561
Order Accuracy → Customer Communication,interaction_moment,4,9.75609756097561
Order Accuracy → Customer Communication,emotion,3,7.317073170731707
Order Accuracy → Customer Communication,opportunity_stream,3,7.317073170731707
Order Accuracy → Customer Communication,customer_journey,2,4.878048780487805
Order Accuracy → Customer Communication,theme,2,4.878048780487805
Order Accuracy → Customer Communication,customer_journey_stage,1,2.4390243902439024
Order Accuracy → Customer Communication,feedback_type,1,2.4390243902439024
Order Accuracy → Customer Communication,customer_effort_score,1,2.4390243902439024
Order Fulfillment → Availability & Scheduling,matters,8,19.51219512195122
Order Fulfillment → Availability & Scheduling,behavioral_impact,6,14.634146341463413
Order Fulfillment → Availability & Scheduling,context,6,14.634146341463413
Order Fulfillment → Availability & Scheduling,stream_justification,4,9.75609756097561
Order Fulfillment → Availability & Scheduling,interaction_moment,4,9.75609756097561
Order Fulfillment → Availability & Scheduling,emotion,3,7.317073170731707
Order Fulfillment → Availability & Scheduling,opportunity_stream,3,7.317073170731707
Order Fulfillment → Availability & Scheduling,customer_journey,2,4.878048780487805
Order Fulfillment → Availability & Scheduling,theme,2,4.878048780487805
Order Fulfillment → Availability & Scheduling,customer_journey_stage,1,2.4390243902439024
Order Fulfillment → Availability & Scheduling,feedback_type,1,2.4390243902439024
Order Fulfillment → Availability & Scheduling,customer_effort_score,1,2.4390243902439024
Order Fulfillment → Stock Allocation,matters,8,19.51219512195122
Order Fulfillment → Stock Allocation,behavioral_impact,6,14.634146341463413
Order Fulfillment → Stock Allocation,context,6,14.634146341463413
Order Fulfillment → Stock Allocation,stream_justification,4,9.75609756097561
Order Fulfillment → Stock Allocation,interaction_moment,4,9.75609756097561
Order Fulfillment → Stock Allocation,emotion,3,7.317073170731707
Order Fulfillment → Stock Allocation,opportunity_stream,3,7.317073170731707
Order Fulfillment → Stock Allocation,customer_journey,2,4.878048780487805
Order Fulfillment → Stock Allocation,theme,2,4.878048780487805
Order Fulfillment → Stock Allocation,customer_journey_stage,1,2.4390243902439024
Order Fulfillment → Stock Allocation,feedback_type,1,2.4390243902439024
Order Fulfillment → Stock Allocation,customer_effort_score,1,2.4390243902439024
Order Accuracy → Wrong Item Delivered,matters,8,19.51219512195122
Order Accuracy → Wrong Item Delivered,behavioral_impact,6,14.634146341463413
Order Accuracy → Wrong Item Delivered,context,6,14.634146341463413
Order Accuracy → Wrong Item Delivered,stream_justification,4,9.75609756097561
Order Accuracy → Wrong Item Delivered,interaction_moment,4,9.75609756097561
Order Accuracy → Wrong Item Delivered,emotion,3,7.317073170731707
Order Accuracy → Wrong Item Delivered,opportunity_stream,3,7.317073170731707
Order Accuracy → Wrong Item Delivered,customer_journey,2,4.878048780487805
Order Accuracy → Wrong Item Delivered,theme,2,4.878048780487805
Order Accuracy → Wrong Item Delivered,customer_journey_stage,1,2.4390243902439024
Order Accuracy → Wrong Item Delivered,feedback_type,1,2.4390243902439024
Order Accuracy → Wrong Item Delivered,customer_effort_score,1,2.4390243902439024
Food Safety → Product Quality,matters,8,19.51219512195122
Food Safety → Product Quality,behavioral_impact,6,14.634146341463413
Food Safety → Product Quality,context,6,14.634146341463413
Food Safety → Product Quality,stream_justification,4,9.75609756097561
Food Safety → Product Quality,interaction_moment,4,9.75609756097561
Food Safety → Product Quality,emotion,3,7.317073170731707
Food Safety → Product Quality,opportunity_stream,3,7.317073170731707
Food Safety → Product Quality,customer_journey,2,4.878048780487805
Food Safety → Product Quality,theme,2,4.878048780487805
Food Safety → Product Quality,customer_journey_stage,1,2.4390243902439024
Food Safety → Product Quality,feedback_type,1,2.4390243902439024
Food Safety → Product Quality,customer_effort_score,1,2.4390243902439024
Customer Service → Staff Training,matters,8,19.51219512195122
Customer Service → Staff Training,behavioral_impact,6,14.634146341463413
Customer Service → Staff Training,context,6,14.634146341463413
Customer Service → Staff Training,stream_justification,4,9.75609756097561
Customer Service → Staff Training,interaction_moment,4,9.75609756097561
Customer Service → Staff Training,emotion,3,7.317073170731707
Customer Service → Staff Training,opportunity_stream,3,7.317073170731707
Customer Service → Staff Training,customer_journey,2,4.878048780487805
